iter	Passed	Remaining
1404	4967	2103
1405	4970	2099
1406	4974	2096
1407	4977	2092
1408	4981	2089
1409	4984	2085
1410	4988	2082
1411	4991	2078
1412	4995	2075
1413	4998	2071
1414	5002	2068
1415	5005	2064
1416	5009	2061
1417	5012	2057
1418	5016	2053
1419	5020	2050
1420	5023	2046
1421	5027	2043
1422	5030	2039
1423	5034	2036
1424	5037	2032
1425	5041	2029
1426	5045	2025
1427	5048	2022
1428	5052	2018
1429	5055	2015
1430	5059	2011
1431	5062	2008
1432	5066	2004
1433	5070	2001
1434	5073	1997
1435	5077	1994
1436	5080	1990
1437	5084	1987
1438	5088	1983
1439	5091	1980
1440	5095	1976
1441	5098	1973
1442	5102	1969
1443	5105	1965
1444	5109	1962
1445	5113	1958
1446	5116	1955
1447	5120	1951
1448	5123	1948
1449	5127	1944
1450	5130	1941
1451	5134	1937
1452	5137	1934
1453	5141	1930
1454	5144	1927
1455	5148	1923
1456	5152	1920
1457	5155	1916
1458	5159	1913
1459	5162	1909
1460	5166	1905
1461	5169	1902
1462	5173	1898
1463	5176	1895
1464	5180	1891
1465	5183	1888
1466	5187	1884
1467	5190	1881
1468	5194	1877
1469	5197	1874
1470	5201	1870
1471	5204	1866
1472	5208	1863
1473	5211	1859
1474	5215	1856
1475	5218	1852
1476	5222	1849
1477	5225	1845
1478	5229	1842
1479	5233	1838
1480	5236	1835
1481	5240	1831
1482	5243	1828
1483	5247	1824
1484	5250	1820
1485	5254	1817
1486	5257	1813
1487	5261	1810
1488	5264	1806
1489	5268	1803
1490	5271	1799
1491	5275	1796
1492	5278	1792
1493	5282	1789
1494	5286	1785
1495	5289	1782
1496	5293	1778
1497	5296	1774
1498	5300	1771
1499	5303	1767
1500	5307	1764
1501	5310	1760
1502	5314	1757
1503	5317	1753
1504	5321	1750
1505	5324	1746
1506	5328	1743
1507	5332	1739
1508	5335	1736
1509	5339	1732
1510	5342	1729
1511	5346	1725
1512	5349	1721
1513	5353	1718
1514	5356	1714
1515	5360	1711
1516	5363	1707
1517	5367	1704
1518	5371	1700
1519	5374	1697
1520	5378	1693
1521	5381	1690
1522	5385	1686
1523	5388	1683
1524	5392	1679
1525	5395	1676
1526	5399	1672
1527	5402	1668
1528	5406	1665
1529	5409	1661
1530	5413	1658
1531	5416	1654
1532	5420	1651
1533	5424	1647
1534	5427	1644
1535	5431	1640
1536	5434	1637
1537	5438	1633
1538	5441	1630
1539	5445	1626
1540	5448	1622
1541	5452	1619
1542	5455	1615
1543	5459	1612
1544	5462	1608
1545	5466	1605
1546	5470	1601
1547	5473	1598
1548	5477	1594
1549	5480	1591
1550	5484	1587
1551	5487	1584
1552	5491	1580
1553	5494	1576
1554	5498	1573
1555	5501	1569
1556	5505	1566
1557	5508	1562
1558	5512	1559
1559	5515	1555
1560	5519	1552
1561	5523	1548
1562	5526	1545
1563	5530	1541
1564	5533	1538
1565	5537	1534
1566	5541	1531
1567	5544	1527
1568	5548	1524
1569	5551	1520
1570	5555	1517
1571	5558	1513
1572	5562	1509
1573	5565	1506
1574	5569	1502
1575	5572	1499
1576	5576	1495
1577	5579	1492
1578	5583	1488
1579	5587	1485
1580	5590	1481
1581	5594	1478
1582	5597	1474
1583	5601	1471
1584	5604	1467
1585	5608	1463
1586	5611	1460
1587	5615	1456
1588	5618	1453
1589	5622	1449
1590	5625	1446
1591	5629	1442
1592	5633	1439
1593	5636	1435
1594	5640	1432
1595	5643	1428
1596	5647	1425
1597	5650	1421
1598	5654	1417
1599	5657	1414
1600	5661	1410
1601	5664	1407
1602	5668	1403
1603	5671	1400
1604	5675	1396
1605	5679	1393
1606	5682	1389
1607	5686	1386
1608	5689	1382
1609	5693	1379
1610	5696	1375
1611	5700	1372
1612	5703	1368
1613	5707	1364
1614	5710	1361
1615	5714	1357
1616	5717	1354
1617	5721	1350
1618	5724	1347
1619	5728	1343
1620	5732	1340
1621	5735	1336
1622	5739	1333
1623	5742	1329
1624	5746	1326
1625	5749	1322
1626	5753	1319
1627	5757	1315
1628	5760	1311
1629	5764	1308
1630	5767	1304
1631	5771	1301
1632	5775	1297
1633	5778	1294
1634	5782	1290
1635	5785	1287
1636	5789	1283
1637	5792	1280
1638	5796	1276
1639	5799	1273
1640	5803	1269
1641	5806	1266
1642	5810	1262
1643	5814	1259
1644	5817	1255
1645	5821	1251
1646	5824	1248
1647	5828	1244
1648	5831	1241
1649	5835	1237
1650	5838	1234
1651	5842	1230
1652	5845	1227
1653	5849	1223
1654	5852	1220
1655	5856	1216
1656	5859	1213
1657	5863	1209
1658	5867	1205
1659	5870	1202
1660	5874	1198
1661	5877	1195
1662	5881	1191
1663	5884	1188
1664	5888	1184
1665	5891	1181
1666	5895	1177
1667	5899	1174
1668	5902	1170
1669	5906	1167
1670	5909	1163
1671	5913	1160
1672	5916	1156
1673	5920	1152
1674	5923	1149
1675	5927	1145
1676	5930	1142
1677	5934	1138
1678	5937	1135
1679	5941	1131
1680	5945	1128
1681	5948	1124
1682	5952	1121
1683	5955	1117
1684	5959	1114
1685	5962	1110
1686	5966	1106
1687	5969	1103
1688	5973	1099
1689	5976	1096
1690	5980	1092
